threshold,TP,FP,FN,sensitivity,FP_per_scan,precision
0.5,8,1482,50,0.13793103448275862,134.72727272727272,0.005369127516778523
0.6,8,1384,50,0.13793103448275862,125.81818181818181,0.005747126436781609
0.7,8,1292,50,0.13793103448275862,117.45454545454545,0.006153846153846154
0.8,8,1192,50,0.13793103448275862,108.36363636363636,0.006666666666666667
0.85,7,1128,51,0.1206896551724138,102.54545454545455,0.006167400881057269
0.9,6,1026,52,0.10344827586206896,93.27272727272727,0.005813953488372093
0.95,5,828,53,0.08620689655172414,75.27272727272727,0.006002400960384154
